batch_size,context_length,k_splits,num_kv_blocks,production_programs,splitk_programs,production_median_ms,splitk_median_ms,speedup,kv_bytes,production_gbps,splitk_gbps,max_abs_error,status,error
8,8192,2,512,96,192,0.8784799873828888,0.547135978937149,1.60559718461469,67108864,76.39202368163949,122.65481815025908,1.52587890625e-05,ok,
8,8192,4,512,96,384,0.8784799873828888,0.36127999424934387,2.4315766202558953,67108864,76.39202368163949,185.75305875830924,1.52587890625e-05,ok,
8,8192,8,512,96,768,0.8784799873828888,0.33952000737190247,2.587417437289997,67108864,76.39202368163949,197.6580541437444,1.52587890625e-05,ok,
8,8192,16,512,96,1536,0.8784799873828888,0.3399040102958679,2.58449433008519,67108864,76.39202368163949,197.43475206893083,1.52587890625e-05,ok,
8,8192,auto(6),512,96,576,0.8784799873828888,0.3625440001487732,2.4230989535681093,67108864,76.39202368163949,185.10543264393087,1.52587890625e-05,ok,
8,16384,1,1024,96,96,1.7172799706459045,1.7172799706459045,1.0,134217728,78.15716149622239,78.15716149622239,0.0,ok,
8,16384,2,1024,96,192,1.7172799706459045,1.0201600193977356,1.6833437284277446,134217728,78.15716149622239,131.56536763638036,1.52587890625e-05,ok,
8,16384,4,1024,96,384,1.7172799706459045,0.6530399918556213,2.629670452136066,134217728,78.15716149622239,205.52757820944262,1.52587890625e-05,ok,
8,16384,8,1024,96,768,1.7172799706459045,0.6124320030212402,2.8040336921882676,134217728,78.15716149622239,219.15531412120714,1.52587890625e-05,ok,
8,16384,16,1024,96,1536,1.7172799706459045,0.6131359934806824,2.8008141569004295,134217728,78.15716149622239,218.9036843817728,1.52587890625e-05,ok,
8,16384,auto(6),1024,96,576,1.7172799706459045,0.6636319756507874,2.5876992575016637,134217728,78.15716149622239,202.24722877221228,1.52587890625e-05,ok,
16,512,1,32,192,192,0.08806400001049042,0.08806400001049042,1.0,8388608,95.25581394214124,95.25581394214124,0.0,ok,
16,512,2,32,192,384,0.08806400001049042,0.10241599753499031,0.8598656667910055,8388608,95.25581394214124,81.90720397107924,0.0001220703125,ok,
16,512,4,32,192,768,0.08806400001049042,0.09896000102162361,0.889894897952231,8388608,95.25581394214124,84.76766282739848,1.52587890625e-05,ok,
16,512,8,32,192,1536,0.08806400001049042,0.1008480004966259,0.8732349632795823,8388608,95.25581394214124,83.18070718993243,6.103515625e-05,ok,
16,512,16,32,192,3072,0.08806400001049042,0.10017599910497665,0.8790928046368292,8388608,95.25581394214124,83.73870063636092,6.103515625e-05,ok,
16,512,auto(3),32,192,576,0.08806400001049042,0.10211200267076492,0.8624255494668062,8388608,95.25581394214124,82.15104767895902,6.103515625e-05,ok,
16,2048,1,128,192,192,0.2687840014696121,0.2687840014696121,1.0,33554432,124.8379063357071,124.8379063357071,0.0,ok,
