batch_size,context_length,heads_per_program,num_warps,num_programs,kv_read_factor,production_median_ms,grouped_median_ms,speedup,production_gbps,grouped_gbps,max_abs_error,status,error
4,4096,1,8,48,6,0.3330719918012619,0.35899199545383453,0.9277978228461479,302.22684127719754,280.4054053426521,3.814697265625e-06,ok,
4,4096,2,4,24,3,0.3330719918012619,0.6340800225734711,0.5252838442212059,302.22684127719754,79.37743850645926,3.0517578125e-05,ok,
4,4096,2,8,24,3,0.3330719918012619,0.5789279937744141,0.5753254210938143,302.22684127719754,86.93939236182851,3.814697265625e-06,ok,
4,4096,3,4,16,2,0.3330719918012619,0.9312799870967865,0.35764968260468616,302.22684127719754,36.030444619135515,3.0517578125e-05,ok,
4,4096,3,8,16,2,0.3330719918012619,0.8524639904499054,0.39071678749207495,302.22684127719754,39.36170017256795,3.814697265625e-06,ok,
4,4096,6,4,8,1,0.3330719918012619,1.6087200045585632,0.20704161747069072,302.22684127719754,10.42892234351478,3.0517578125e-05,ok,
4,4096,6,8,8,1,0.3330719918012619,1.4918559789657593,0.2232601514471703,302.22684127719754,11.245868392491166,3.814697265625e-06,ok,
4,8192,1,4,48,6,0.8755680024623871,0.8692959845066071,1.0072150545585918,229.9382702814664,231.59728744665543,1.52587890625e-05,ok,
4,8192,1,8,48,6,0.8755680024623871,0.7915360033512115,1.1061632051547878,229.9382702814664,254.34925404229477,1.52587890625e-05,ok,
4,8192,2,4,24,3,0.8755680024623871,1.3610079884529114,0.6433231912603724,229.9382702814664,73.96231091518152,1.52587890625e-05,ok,
4,8192,2,8,24,3,0.8755680024623871,1.239087998867035,0.7066229382117866,229.9382702814664,81.23982807681286,1.52587890625e-05,ok,
4,8192,3,4,16,2,0.8755680024623871,1.9343839883804321,0.452634020815825,229.9382702814664,34.69262793897868,1.52587890625e-05,ok,
4,8192,3,8,16,2,0.8755680024623871,1.777504026889801,0.4925828516936852,229.9382702814664,37.75454962958602,1.52587890625e-05,ok,
4,8192,6,4,8,1,0.8755680024623871,3.254464030265808,0.2690360054128099,229.9382702814664,10.310278954676125,1.52587890625e-05,ok,
4,8192,6,8,8,1,0.8755680024623871,3.023856043815613,0.2895534674188931,229.9382702814664,11.096570575383538,1.52587890625e-05,ok,
4,12288,1,4,48,6,1.2988960146903992,1.2815680503845215,1.0135209084688703,232.4973551266006,235.6409305845218,1.52587890625e-05,ok,
4,12288,1,8,48,6,1.2988960146903992,1.1667519807815552,1.1132580326286026,232.4973551266006,258.82954815959295,1.52587890625e-05,ok,
4,12288,2,4,24,3,1.2988960146903992,2.0286879539489746,0.6402640742071803,232.4973551266006,74.42985191787551,1.52587890625e-05,ok,
4,12288,2,8,24,3,1.2988960146903992,1.8438079953193665,0.7044638150977413,232.4973551266006,81.89298689630974,1.52587890625e-05,ok,
4,12288,3,4,16,2,1.2988960146903992,2.896623969078064,0.4484172017342697,232.4973551266006,34.75193779882967,1.52587890625e-05,ok,
